%time,field.data
1449189010006459868,291825
1449189010006464896,152826
1449189010056622947,1269818
1449189010087096372,237941
1449189010143205459,872851
1449189010188411763,298977
1449189010241931136,795841
1449189010295679588,342846
1449189010337170336,238180
1449189010394070025,1223087
1449189010437505992,244856
1449189010492550698,890971
1449189010598975666,245094
1449189010601408384,198841
1449189010639305935,276089
1449189010694284437,987053
1449189010833935707,255108
1449189010834927454,340938
1449189010837121029,323058
1449189010887160906,228882
1449189010942685561,862122
1449189010993986495,824929
1449189011039395617,255108
1449189011093701961,936985
1449189011193683939,328064
1449189011193711317,163078
1449189011237124659,226021
1449189011287967434,231028
1449189011437595945,360966
1449189011439783934,1121998
1449189011441272112,153065
1449189011490052055,236988
1449189011542107834,1155138
1449189011615392288,354051
1449189011636971007,238896
1449189011695196285,874042
1449189011742862957,1368046
1449189011796565313,1075029
1449189011843101674,1571894
1449189011892776145,857830
1449189011943286196,1183033
1449189011990996170,819921
1449189012058533804,1561880
1449189012093499420,1377106
1449189012138217395,292063
1449189012186917160,248909
1449189012241341116,655175
1449189012296913542,468969
1449189012360367974,497103
1449189012388560943,456095
1449189012438505840,428915
1449189012496960474,936032
1449189012542635554,360012
1449189012635437013,822067
1449189012701451829,388145
1449189012701465239,194073
1449189012737033167,258923
1449189012875366120,964164
1449189012877525609,670910
1449189012887361207,325918
1449189012943407440,1285076
1449189012991935674,782013
1449189013043486919,890017
1449189013097875395,94890
1449189013138980061,468969
1449189013190247751,471115
1449189013237021853,248909
1449189013287416805,248194
1449189013337230677,228882
1449189013391958583,854969
1449189013440624265,832081
1449189013488937948,238895
1449189013542325737,761986
1449189013595964120,360966
1449189013638135680,247002
1449189013698610406,771999
1449189013746971022,250816
1449189013790748931,870943
1449189013840671478,844002
1449189013896498404,277996
1449189013937079263,245094
1449189014015746526,519037
1449189014038442700,233889
1449189014092440348,910998
1449189014142121523,849962
1449189014192828526,798941
1449189014241847325,832796
1449189014287072347,220060
1449189014346290767,957966
1449189014387343189,233173
1449189014439324098,237941
1449189014493067242,289917
1449189014553040788,869036
1449189014587649651,230073
1449189014637178853,230074
1449189014687194429,247956
1449189014737079820,262022
1449189014787133947,88931
1449189014842629548,863076
1449189014974450774,400066
1449189014976295980,299930
1449189014987432308,322104
1449189015042125853,848055
1449189015094391154,2701044
1449189015138594538,283957
1449189015193011790,263929
1449189015241637522,1199961
1449189015289504221,303030
1449189015350271714,741958
1449189015388927190,224114
1449189015443443058,765085
1449189015487741427,370979
1449189015536877001,216007
1449189015592933567,841140
1449189015642048189,833988
1449189015693464780,1954078
1449189015738257902,274182
1449189015787675077,270844
1449189015837670258,358105
1449189015886934899,48876
1449189015944184354,874996
1449189015996159676,638009
1449189016037203439,247002
1449189016094928653,1367093
1449189016137341586,272989
1449189016193299256,844002
1449189016244388989,887156
1449189016291460893,855923
1449189016345440659,967025
1449189016393131916,849009
1449189016439175198,247002
1449189016491044080,849009
1449189016567860270,222921
1449189016587198758,213861
1449189016671558085,1477003
1449189016713804516,1919985
1449189016737577368,226020
1449189016795078532,900030
1449189016841822462,871897
1449189016892504602,816822
1449189016940250055,545979
1449189017016026444,10049820
1449189017036887756,214815
1449189017090223865,267983
1449189017227377332,699997
1449189017227393256,308991
1449189017254424061,277042
1449189017287024853,267029
1449189017341634867,798941
1449189017392756449,912189
1449189017443283820,863075
1449189017493620106,850916
1449189017542963527,797987
1449189017593096996,792981
1449189017637223833,265121
1449189017690080550,872135
1449189017784261513,246048
1449189017842348224,261069
1449189017842353253,208855
1449189017889845884,274897
1449189017942312886,797033
1449189017987446557,228167
1449189018077660254,2870083
1449189018095131752,256062
1449189018140915783,368833
1449189018191150659,864983
1449189018258078158,250816
1449189018287735838,259161
1449189018342759871,868082
1449189018395918304,447988
1449189018437192542,267982
1449189018495244614,895977
1449189018576345985,365973
1449189018587826772,239134
1449189018641377712,874996
1449189018695888272,497103
1449189018737019754,231027
1449189018792663699,858069
1449189018837294791,252962
1449189018897458024,1279831
1449189018937118373,240088
1449189018990278200,263929
1449189019114431410,831842
1449189019117020008,554085
1449189019137306384,360013
1449189019195143345,566006
1449189019240567274,874996
1449189019336464378,358820
1449189019355293029,330925
1449189019387190937,201941
1449189019443148049,854015
1449189019487426302,240087
1449189019541594918,1222849
1449189019592300805,797986
1449189019637654613,256062
1449189019694777796,1381874
1449189019743107960,319957
1449189019882514784,342131
1449189019883936195,880957
1449189019887769364,338792
1449189019937398296,277996
1449189019992231243,806093
1449189020040205217,303030
1449189020090466912,828028
1449189020256770161,774860
1449189020258310862,502109
1449189020260107182,313998
1449189020288150694,240803
1449189020339787706,261068
1449189020392741083,1034022
1449189020555560914,433922
1449189020556345374,567913
1449189020557875742,330925
1449189020587068292,227928
1449189020642841305,797033
1449189020749338912,1312018
1449189020783084564,32823086
1449189020787490703,352859
1449189020838190435,318766
1449189020891980513,849009
1449189020937875730,276804
1449189020992715941,910997
1449189021041907668,785828
1449189021094577769,881910
1449189021142674944,309944
1449189021187401299,263930
1449189021243275438,810861
1449189021309787244,990153
1449189021340871084,259161
1449189021396668119,351906
1449189021437437544,287056
1449189021493904779,851869
1449189021548002717,1082898
1449189021588479370,266790
1449189021643048874,929832
1449189021693813427,900984
1449189021737501660,272989
1449189021787371127,271081
1449189021840474804,880003
1449189021918280230,893831
1449189021994889958,513792
1449189021997113426,423908
1449189022037296746,247002
1449189022088745464,291825
1449189022137549432,273943
1449189022354227802,897169
1449189022358763018,1019001
1449189022360607668,327111
1449189022361524824,460863
1449189022389827025,266076
1449189022445036836,978947
1449189022499528677,319005
1449189022537618436,322103
1449189022589476423,284910
1449189022647031782,2083063
1449189022690232524,490904
1449189022739067502,467062
1449189022789179458,511885
1449189022839917470,446796
1449189022897245705,265121
1449189022937084847,272989
1449189023000795738,841856
1449189023075515849,389099
1449189023088152092,392199
1449189023137461711,265122
1449189023188149159,288963
1449189023287320702,416994
1449189023289021756,512123
1449189023341694093,283003
1449189023395966074,1198053
1449189023443093291,776053
1449189023490897133,1167059
1449189023564109791,221968
1449189023588689730,247001
1449189023637348428,257016
1449189023711964895,1430035
1449189023771425805,251054
1449189023787344029,247955
1449189023842410244,370026
1449189023915805887,1220941
1449189023937190726,272989
1449189023993310151,1024008
1449189024037409051,233173
1449189024089319836,361204
1449189024137356949,269175
1449189024250970272,259876
1449189024261772482,307083
1449189024287335787,240088
1449189024348633802,1357079
1449189024394144614,2496005
1449189024439269621,469923
1449189024515935512,408888
1449189024537830193,254155
1449189024599039368,880003
1449189024638335983,344992
1449189024688437325,293016
1449189024746481013,1731158
1449189024795523281,2094984
1449189024841557621,566006
1449189024890802708,558138
1449189024940200886,826836
1449189024990611203,562907
1449189025040837140,881911
1449189025096602608,420093
1449189025137174804,360966
1449189025193532525,870943
1449189025239252302,427961
1449189025289431864,462055
1449189025339055768,439882
1449189025397041350,2134084
1449189025442787946,308037
1449189025658455852,817060
