%time,field.data
1449190617902130222,706912
1449190617951870623,447035
1449190618037892729,2019167
1449190618053950915,1181841
1449190618101636585,438929
1449190618157757683,2092123
1449190618293326030,1029015
1449190618295202246,556945
1449190618327245427,358105
1449190618353288960,389099
1449190618401324953,317097
1449190618457798052,1034975
1449190618539518492,31516075
1449190618556675982,941991
1449190618636686707,305891
1449190618651510382,402927
1449190618707996893,273943
1449190618756868187,1908063
1449190618804729018,282050
1449190618864217863,2297878
1449190618917033243,272989
1449190618956888021,455141
1449190619001758805,385046
1449190619117143031,1138211
1449190619117692542,309229
1449190619154602814,548124
1449190619255392719,23865938
1449190619256650421,602007
1449190619301836331,422955
1449190619356563118,1919031
1449190619405385245,1019001
1449190619535875571,349999
1449190619535970555,241042
1449190619554612032,234842
1449190619601777803,271082
1449190619661269163,1336813
1449190619701777384,293970
1449190619757929214,1004934
1449190619828595182,293016
1449190619858600946,293970
1449190619908581043,430823
1449190619954541074,1010180
1449190620002996671,607967
1449190620051518202,319005
1449190620104724687,1188040
1449190620154690534,1195907
1449190620208437589,614881
1449190620256286687,1218081
1449190620307993259,1457930
1449190620454407393,401974
1449190620454872816,272989
1449190620456236956,526905
1449190620501352749,273943
1449190620558551359,2491951
1449190620601352330,291109
1449190620814957542,1806020
1449190620816300749,1004935
1449190620865600831,323057
1449190620922148969,1868963
1449190620967052999,302077
1449190621015918150,329018
1449190621073969101,989914
1449190621150931957,33188105
1449190621192368510,329018
1449190621235664235,463009
1449190621265505456,272990
1449190621321189069,1857042
1449190621376570688,1746178
1449190621419849095,1008987
1449190621471014536,1152039
1449190621521111406,877857
1449190621568790928,1371861
1449190621656883969,1059056
1449190621674051514,957966
1449190621721558390,1128912
1449190621768404288,573874
1449190621820618187,854969
1449190621915490579,3801108
1449190621916952777,350952
1449190621965643043,191927
1449190622019992409,1008034
1449190622070536822,740052
1449190622115845652,222922
1449190622174280174,1446008
1449190622308317597,1091003
1449190622308860124,303030
1449190622316309956,309229
1449190622365324846,298023
1449190622509592062,29273986
1449190622510163084,195980
1449190622536090963,276089
1449190622572757077,375032
1449190622623190580,1428127
1449190622669639221,710010
1449190622735696502,382901
1449190622766094211,280142
1449190622820876600,1151800
1449190622868110535,303030
1449190622952392477,1454830
1449190622970490865,1073838
1449190623017731228,324965
1449190623066013062,315905
1449190623126233844,1325130
1449190623234562134,663042
1449190623293162044,292063
1449190623294299339,416994
1449190623315438059,299930
1449190623421804928,582218
1449190623486075105,1460075
1449190623488418141,422955
1449190623515841462,305176
1449190623565703666,336886
1449190623644249403,21745205
1449190623665701009,302077
1449190623723373144,2363920
1449190623766711056,485897
1449190623852959448,13485193
1449190623884384671,516892
1449190623916158542,308990
1449190623971160783,1096964
1449190624029569328,2003908
1449190624065922549,234127
1449190624120548206,1318932
1449190624168987882,833988
1449190624218542504,1128912
1449190624268945557,844956
1449190624321010833,1600981
1449190624365769036,373125
1449190624421424433,1512051
1449190624471292783,1969099
1449190624516941044,427008
1449190624566233061,311851
1449190624620344967,1175165
1449190624669032161,1029968
1449190624717837247,768900
1449190624813218920,1173019
1449190624817354642,742912
1449190624873881382,299930
1449190624921502516,1976967
1449190624968332492,614166
1449190625020476269,1365900
1449190625092593816,318050
1449190625121273997,292063
1449190625166795424,293016
1449190625216329653,350952
1449190625266772097,298023
1449190625318700765,780821
1449190625369781278,1169920
1449190625419768918,1080036
1449190625466965418,490188
1449190625519117019,853062
1449190625569657241,1061916
1449190625686109751,410080
1449190625686941700,392914
1449190625718340381,365019
1449190625766000070,337124
1449190625819506033,830888
1449190625867101748,293970
1449190625922435316,1260042
