X,Y,Psi
-1284.8884178384997,-905.57731953746043,3.5813377105487429
-1285.9745851964012,-906.10398789468093,3.5770931826280661
-1287.1053030623691,-906.56081794524425,3.5850695811021733
-1288.2923469991492,-907.17677929083072,3.5886529181675799
-1289.4596955890804,-907.77620789953789,3.5872645380005754
-1290.6369119432943,-908.26311447271962,3.5933935083194233
-1291.7252072030251,-908.8719759883337,3.5941797579119656
-1292.8878072983064,-909.37346516206776,3.5895604284839253
-1294.0123311278392,-909.90987580344188,3.5827197794512129
-1295.0858639951846,-910.42674083854649,3.5834484436494405
-1296.2225220703288,-910.95365049871953,3.5885079442334611
-1297.4398567318558,-911.55059676856467,3.5885965066008199
-1298.5103190147081,-912.08476773041093,3.5912843009214814
-1299.658528175813,-912.57781193664982,3.5771523121254387
-1300.7596860984399,-913.14065856735533,3.5859787890862349
-1302.0285992106726,-913.69915245214531,3.6068917516562142
-1303.0499554200242,-914.1937756168951,3.5915981419068141
-1304.1518585633503,-914.82075840097571,3.5866786583136201
-1305.3033900743453,-915.30321023504553,3.5874004650056008
-1306.4692383052006,-915.81878948177336,3.60072046305927
-1307.5028995116124,-916.33891696590183,3.5915532608162941
-1308.65402530604,-916.95085922697342,3.5934783661101375
-1309.7701433519594,-917.42600368482874,3.5855586941592872
-1310.8876546713034,-917.96068179211375,3.5850609041905042
-1311.9938911768722,-918.52633201541812,3.601785516054115
-1313.1240521371149,-919.09939908215301,3.6051316594784937
-1314.2274267163082,-919.59299635892796,3.5991992909649757
-1315.306998332637,-920.13739677688022,3.5967855686578747
-1316.4161029574079,-920.64245847499933,3.5880423775126968
-1317.515784421425,-921.21547023143296,3.6058157804855684
-1318.6776440271256,-921.74597412229309,3.5957318059016639
-1319.7383828382417,-922.29787182653104,3.6095397261385802
-1320.8226534601752,-922.81593803876297,3.5979254780207186
-1321.9321065355628,-923.352484745325,3.6150246010761276
-1323.0427718981844,-923.93870116910659,3.5936507422356736
-1324.1605040739596,-924.4170295041456,3.5984888511477049
-1325.2451650476532,-925.02406524332196,3.6004791363305815
-1326.368630003368,-925.56493307997198,3.6029592736929805
-1327.4588503286202,-926.11613161776916,3.6011901464350999
-1328.6475414683352,-926.66312824959232,3.5926235184330593
-1329.6813999759097,-927.15680380535196,3.6015781423384214
-1330.8111186176038,-927.70935816278973,3.5938829705346378
-1331.9219030274755,-928.25492267589334,3.5949489052257801
-1333.0791743872746,-928.90394441905926,3.6088100505973757
-1334.1494753375966,-929.35690354571295,3.6048748980553955
-1335.3236925238225,-929.90499355834243,3.5991453747938555
-1336.3950964171383,-930.48026147814949,3.6056278534058674
-1337.4765111581487,-931.05902683695706,3.6017168109259048
-1338.6342977266811,-931.58295157260898,3.6103160426170899
-1339.771831635368,-932.12492284720952,3.6043237867857898
-1340.8874494386184,-932.71637626693712,3.6029035998172638
-1342.0305409048533,-933.21552457585688,3.597898325772876
-1343.1138282405677,-933.77856567758977,3.6033402325331001
-1344.2753501239638,-934.37676840462689,3.5886117902192076
-1345.3793999923555,-934.88410252219614,3.6151579248186771
-1346.4782503019451,-935.47541168176463,3.6089988285293497
-1347.5911984699235,-936.02652903898877,3.6067595522207898
-1348.7399160363409,-936.56519325576733,3.5907541804207574
-1349.7986549286763,-937.09496466162295,3.5995476869863823
-1350.9842595386176,-937.67720634433647,3.5943660822826495
-1352.1428100973346,-938.24032629296244,3.6007780177625954
-1353.2554156417045,-938.7619373213239,3.5980344834490352
-1354.4049595458525,-939.25688211236559,3.5890953177935541
-1355.5435808895352,-939.8722473877674,3.5856101019409681
-1356.6233696214736,-940.37499359286187,3.5915592602536166
-1357.8696166463433,-940.95682644756857,3.5883883563399883
-1358.9532486164308,-941.46945601604909,3.5827000939547697
-1360.0640124077495,-942.03173557658147,3.5845601873255384
-1361.195652439151,-942.50875591582258,3.5816345754325507
-1362.3029861566204,-943.06247283621644,3.580407722934833
-1363.4914462847134,-943.63917061108111,3.57535883929306
-1364.6565654792014,-944.10377336869078,3.5803537202675866
-1365.7902860866382,-944.6655756806565,3.5845922328667945
-1366.8968388398609,-945.11312821260503,3.5607682594073538
-1368.0020593257398,-945.61624149480679,3.571422819611529
-1369.2425879940029,-946.21139924050283,3.5542736018379424
-1370.3061916226479,-946.64669334009773,3.5558328063830245
-1371.3952888683739,-947.14262606687214,3.564894858505316
-1372.5864040983354,-947.68130499199935,3.5705694246066311
-1373.7907265279707,-948.24433504329716,3.5687124482887755
-1374.9560941893369,-948.69564412194813,3.5570220427366461
-1376.0253012490925,-949.2203220991239,3.5597303231777278
-1377.1523474976784,-949.67747364886247,3.551692576955729
-1378.2521511514267,-950.25933192782236,3.5664601482708242
-1379.4498528037927,-950.72443876772729,3.5647068030836992
-1380.5411472650628,-951.18040272023734,3.5515671854411766
-1381.7467652232795,-951.69460175089762,3.5511575257459156
-1382.8277092631824,-952.15807350107718,3.5632010968802619
-1383.9977849379895,-952.70837699202445,3.5523358113002654
-1385.1671663055479,-953.26622517598776,3.5507494338048251
-1386.3429530450348,-953.66716821075272,3.5594935764078741
-1387.5052382119413,-954.20134958640426,3.5610315213773003
-1388.6259470313066,-954.74972107190911,3.5655637580357054
-1389.8671270860868,-955.23285214035263,3.5587224726216902
-1390.9799311109466,-955.76738541760369,3.5513123837475327
-1392.1365080692499,-956.31681825341479,3.5534527486709511
-1393.3407285205101,-956.73220525542536,3.5496182400699126
-1394.5238310052289,-957.24593700869025,3.5462320052764871
-1395.6432384749899,-957.73851744327521,3.548700375212424
-1396.8517478742031,-958.25684296406632,3.5461279974113635
-1398.1005311543643,-958.73150581050095,3.5508840867719949
-1399.2642357485859,-959.29043112316515,3.539195791011716
-1400.4321403281656,-959.7545982037185,3.5442124900743868
-1401.5565245855064,-960.25424683312212,3.5378403646983387
-1402.853098189705,-960.73190386578904,3.5394809060239663
-1404.0833179902713,-961.25454206643337,3.5384650567553377
-1405.1235399747636,-961.68387861902374,3.5465332141726402
-1406.4299674824651,-962.23203318537207,3.5350979837126784
-1407.6813359141495,-962.79273142376871,3.5432192795951067
-1408.8929475465388,-963.2555998961268,3.5419851859676057
-1409.9898522768206,-963.7255458014406,3.546463307606158
-1411.3539011569844,-964.21630268626018,3.5366629785820645
-1412.4278544459773,-964.64173015504446,3.531018659874948
-1413.7494031800786,-965.21233218128486,3.543755250192242
-1414.9740385503603,-965.74408384560422,3.534520236601228
-1416.1998642169297,-966.1845764904167,3.5333964163167844
-1417.4441132562922,-966.69653868082128,3.5267858387379771
-1418.7195517593523,-967.23621255296678,3.5263613245794869
-1419.8059741007071,-967.61075692490328,3.5106162944830341
-1421.1202974404459,-968.12127936335139,3.5191993401197754
-1422.2581081877686,-968.64159366097169,3.5231021925955646
-1423.5887346237216,-969.13304319788324,3.5141399582411141
-1424.7043130166787,-969.50361562564865,3.5109737186909369
-1426.0857838500381,-970.08627655027976,3.512962549831248
-1427.2628541380334,-970.53956907660597,3.5033895438376241
-1428.5031215854426,-970.98085888360777,3.5069308154908123
-1429.7392893081878,-971.48738172222841,3.505775257758267
-1430.9219811072724,-971.93885726844269,3.5076984868800123
-1432.2231149289282,-972.39593747184369,3.4892142089648219
-1433.4201588372077,-972.89097933064306,3.4908192466401231
-1434.6634473752949,-973.21507064188847,3.5032665557574534
-1435.8327191054202,-973.69387138434104,3.4956056306668541
-1436.9781076726786,-974.12555217740953,3.5008815985398076
-1438.3147361899616,-974.55009497493245,3.4942357947115514
-1439.4888061078359,-975.02447253147386,3.4923679042104414
-1440.7590311998249,-975.42566105487106,3.4841164960418229
-1442.0165422827215,-975.90506347309918,3.481222613329225
-1443.2607656295947,-976.34225984209911,3.4891189991255955
-1444.5120352637889,-976.77636252172624,3.4777477795578138
-1445.6177399147828,-977.17587972311924,3.4924026654307432
-1446.9627887371962,-977.64494504367804,3.4801348390173015
-1448.2622288510847,-978.07257439876037,3.4816637272688591
-1449.5166802837421,-978.47586885876387,3.4801421106823085
-1450.7500553227508,-978.95077107015413,3.4794306418569629
-1452.0172874245864,-979.37543614782408,3.4802291484175014
-1453.2676630983128,-979.82382876068982,3.4790983744410671
-1454.6032015782732,-980.30723537140875,3.4834975035436972
-1455.8815694257087,-980.67286767349083,3.4874244495009372
-1457.1850124771208,-981.17737261488026,3.4772871730201484
-1458.4873329125292,-981.60352633611978,3.4819262677096026
-1459.8309104701996,-982.10427439024352,3.4748058327914499
-1461.1322659049169,-982.50791730565606,3.4742301053408671
-1462.4126811876208,-982.93599985931564,3.4818282613964628
-1463.7414803328568,-983.44775006729583,3.4738413836152429
-1465.0471653881934,-983.85135376777635,3.4761548155055793
-1466.447184098248,-984.36975146667885,3.4740618407699357
-1467.7637203925833,-984.76834655359028,3.4703416736502231
-1469.0845735371011,-985.18912481694019,3.4778811126484963
-1470.4961289275147,-985.66545388400698,3.4686806021418035
-1471.7919983959632,-986.20228697721268,3.4731954862823442
-1473.2078948969158,-986.63455745111639,3.4656910235648319
-1474.5339392615074,-987.08441428845094,3.4637715316029176
-1475.9106959521296,-987.46600071661112,3.4670541657696878
-1477.3205229991372,-987.99020125753509,3.4504822004045419
-1478.7268758003147,-988.38688693614824,3.4552017834103861
-1480.0258862462663,-988.83055958818329,3.4587082869721799
-1481.4571408661297,-989.26336678363657,3.4526921712518601
-1482.9124951319793,-989.71458260429199,3.4560935960386003
-1484.2832153082575,-990.249245450275,3.4563993612574437
-1485.6864174651084,-990.66992753764328,3.4537053723313393
-1487.0881796121803,-991.101332994936,3.4511685385702227
-1488.5793470562996,-991.57578148445509,3.4497320338755446
-1489.9813173158091,-992.02831220940573,3.4545919411151598
-1491.4784901216203,-992.45306651235364,3.4479911677752284
-1492.9273818826532,-992.9670063258975,3.447518325867581
-1494.3393678659172,-993.38065909407624,3.4472869482158508
-1495.8777692646161,-993.80175169143229,3.4457063461695596
-1497.3736783966256,-994.27128104089945,3.442299612819602
-1498.7733909088763,-994.64711732454055,3.4411315209745386
-1500.3242903419534,-995.11441730380329,3.4427827697286011
-1501.7523225841333,-995.60520916599239,3.4297633776419025
-1503.2818737563045,-995.99561034184023,3.4267295702596527
-1504.7756633068454,-996.44923016492987,3.4255765734885348
-1506.2996687372297,-996.8493675231656,3.4310248895921927
-1507.6976082383073,-997.31667208019689,3.4302734783380862
-1509.2458552876089,-997.72276679457252,3.4303718689471867
-1510.7236478247983,-998.22047486266763,3.4256369870962184
